Position_data
Positionêî=	519
POSITION_TICKET	POSITION_TIME	POSITION_TIME_MSC	POSITION_TIME_UPDATE	POSITION_TIME_UPDATE_MSC	POSITION_TYPE	POSITION_MAGIC	POSITION_IDENTIFIER	POSITION_REASON	POSITION_VOLUME	POSITION_PRICE_OPEN	POSITION_SL	POSITION_TP	POSITION_PRICE_CURRENT	POSITION_SWAP	POSITION_PROFIT	POSITION_COMMENT	status	max_price	max_subtime	min_price	min_time	open_sigma_Fb	open_sigmaLb	open_bollinger_bandwide_Fb	open_bollinger_bandwide_Fb_o1	open_bollinger_bandwide_Fb_o2	open_bollinger_bandwide_Fb_o3	open_bollinger_bandwide_Fb_o4	open_bollinger_bandwide_Fb_o5	open_bollinger_bandwide_Lb	open_bollinger_bandwide_Lb_o1	open_bollinger_bandwide_Lb_o2	open_bollinger_bandwide_Lb_o3	open_bollinger_bandwide_Lb_o4	open_bollinger_bandwide_Lb_o5	open_katamuki_F	open_katamuki1_F	open_katamuki2_F	open_katamuki3_F	open_katamuki_L	open_katamuki1_L	open_katamuki2_L	open_katamuki3_L	open_katamuki_EMA_A	open_katamuki_EMA_A1	open_katamuki_EMA_A2	open_katamuki_EMA_B1	open_katamuki_EMA_B2	open_katamuki_EMA_C1	open_katamuki_EMA_C2	open_state_tyouki_chikou_innyou	open_state_tyouki_kumo_innyou	open_state_tanki__chikou_innyou	open_state_tanki__kumo_innyou	open_mode_span_pattern	max_sigma	min_sigma	agatte_sagaru	sagatte_agaru
2	2009.01.05 22:00	1231192800000	1231192800	1231192800000	POSITION_TYPE_BUY	16384	2	POSITION_REASON_EXPERT	0.10000	1.46780	1.46560	1.47230	1.46980	0.00000	-7.00000	0##0#0.0#	2	36.00000000	10800	7.00000000	14400	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	43.00000000	36.00000000
6	2009.01.27 01:00	1233018000000	1233018000	1233018000000	POSITION_TYPE_BUY	16384	6	POSITION_REASON_EXPERT	0.10000	1.39690	1.39470	1.40140	1.39590	0.00000	-10.00000	2##0#0.0#	2	0.00000000	0	10.00000000	3600	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	10.00000000	0.00000000
10	2009.02.04 18:00	1233770400000	1233770400	1233770400000	POSITION_TYPE_BUY	16384	10	POSITION_REASON_EXPERT	0.10000	1.44720	1.44500	1.45170	1.44950	0.00000	23.00000	4##0#0.0#	2	23.00000000	3600	0.00000000	0	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	0.00000000	23.00000000
20	2009.03.18 12:00	1237377600000	1237377600	1237377600000	POSITION_TYPE_SELL	16384	20	POSITION_REASON_EXPERT	0.10000	1.38822	1.39042	1.38372	1.38776	0.00000	4.60000	9##0#0.0#	2	0.00000000	0	6.60000000	3600	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	6.60000000	0.00000000
24	2009.03.26 20:00	1238097600000	1238097600	1238097600000	POSITION_TYPE_SELL	16384	24	POSITION_REASON_EXPERT	0.10000	1.44395	1.44615	1.43945	1.44509	0.00000	-14.00000	11##0#0.0#	2	12.00000000	7200	0.00000000	0	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	0.00000000	12.00000000
26	2009.04.02 05:00	1238648400000	1238648400	1238648400000	POSITION_TYPE_BUY	16384	26	POSITION_REASON_EXPERT	0.10000	1.44934	1.44714	1.45384	1.44936	0.00000	-6.30000	12##0#0.0#	2	0.20000000	3600	6.30000000	7200	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	6.50000000	0.20000000
28	2009.04.07 04:00	1239076800000	1239076800	1239076800000	POSITION_TYPE_SELL	16384	28	POSITION_REASON_EXPERT	0.10000	1.47027	1.47247	1.46577	1.46831	0.00000	2.10000	13##0#0.0#	2	0.00000000	0	22.10000000	7200	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	22.10000000	18.00000000
32	2009.04.17 10:00	1239962400000	1239962400	1239962400000	POSITION_TYPE_SELL	16384	32	POSITION_REASON_EXPERT	0.10000	1.48199	1.48419	1.47749	1.48214	0.00000	-1.50000	15##0#0.0#	2	0.00000000	0	0.50000000	3600	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	0.50000000	0.00000000
34	2009.04.23 23:00	1240527600000	1240527600	1240527600000	POSITION_TYPE_BUY	16384	34	POSITION_REASON_EXPERT	0.10000	1.47216	1.46996	1.47666	1.47051	-0.02000	-7.20000	16##0#0.0#	2	0.00000000	0	16.50000000	3600	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	16.50000000	9.30000000
38	2009.04.29 13:00	1241010000000	1241010000	1241010000000	POSITION_TYPE_BUY	16384	38	POSITION_REASON_EXPERT	0.10000	1.47734	1.47514	1.48184	1.47623	0.00000	-11.10000	18##0#0.0#	2	0.00000000	0	11.10000000	3600	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	11.10000000	0.00000000
