Deal_data
dealêî=	1079
DEAL_TICKET	DEAL_ORDER	DEAL_TIME	DEAL_TIME_MSC	DEAL_TYPE	DEAL_ENTRY	DEAL_MAGIC	DEAL_REASON	DEAL_POSITION_ID	DEAL_VOLUME	DEAL_PRICE	DEAL_COMMISSION	DEAL_SWAP	DEAL_PROFIT	DEAL_SYMBOL	DEAL_COMMENT
1079	1079	2019.12.13 00:59	1576198797000	DEAL_TYPE_SELL	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1078	0.10000	108.96200	0.00000	-0.01000	-18.63000	USDJPY	sl 108.962	#0#0.0#
1078	1078	2019.12.12 19:00	1576177200000	DEAL_TYPE_BUY	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1078	0.10000	109.16500	0.00000	0.00000	0.00000	USDJPY	546##0#0.0#	#0#0.0#
1077	1077	2019.12.03 16:59	1575392398000	DEAL_TYPE_BUY	DEAL_ENTRY_OUT	16384	DEAL_REASON_TP	1076	0.10000	108.64200	0.00000	-0.06000	41.42000	USDJPY	tp 108.642	#0#0.0#
1076	1076	2019.12.02 19:00	1575313200000	DEAL_TYPE_SELL	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1076	0.10000	109.09200	0.00000	0.00000	0.00000	USDJPY	545##0#0.0#	#0#0.0#
1075	1075	2019.12.02 15:59	1575302398000	DEAL_TYPE_SELL	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1074	0.10000	109.48700	0.00000	0.00000	-18.54000	USDJPY	sl 109.487	#0#0.0#
1074	1074	2019.12.02 04:00	1575259200000	DEAL_TYPE_BUY	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1074	0.10000	109.69000	0.00000	0.00000	0.00000	USDJPY	544##0#0.0#	#0#0.0#
1073	1073	2019.12.02 02:59	1575255598000	DEAL_TYPE_BUY	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1072	0.10000	109.60600	0.00000	-0.05000	-18.52000	USDJPY	sl 109.606	#0#0.0#
1072	1072	2019.11.29 20:00	1575057600000	DEAL_TYPE_SELL	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1072	0.10000	109.40300	0.00000	0.00000	0.00000	USDJPY	543##0#0.0#	#0#0.0#
1071	1071	2019.11.18 15:59	1574092797000	DEAL_TYPE_SELL	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1070	0.10000	108.75200	0.00000	0.00000	-18.67000	USDJPY	sl 108.752	#0#0.0#
1070	1070	2019.11.18 11:00	1574074800000	DEAL_TYPE_BUY	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1070	0.10000	108.95500	0.00000	0.00000	0.00000	USDJPY	542##0#0.0#	#0#0.0#
1069	1069	2019.11.14 18:59	1573757998000	DEAL_TYPE_BUY	DEAL_ENTRY_OUT	16384	DEAL_REASON_TP	1068	0.10000	108.28000	0.00000	0.00000	41.56000	USDJPY	tp 108.280	#0#0.0#
1068	1068	2019.11.14 08:00	1573718400000	DEAL_TYPE_SELL	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1068	0.10000	108.73000	0.00000	0.00000	0.00000	USDJPY	541##0#0.0#	#0#0.0#
1067	1067	2019.11.07 22:59	1573167598000	DEAL_TYPE_SELL	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1066	0.10000	109.22300	0.00000	0.00000	-18.49000	USDJPY	sl 109.223	#0#0.0#
1066	1066	2019.11.07 19:00	1573153200000	DEAL_TYPE_BUY	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1066	0.10000	109.42500	0.00000	0.00000	0.00000	USDJPY	540##0#0.0#	#0#0.0#
1065	1065	2019.10.31 11:59	1572523198000	DEAL_TYPE_BUY	DEAL_ENTRY_OUT	16384	DEAL_REASON_TP	1064	0.10000	108.37700	0.00000	-0.17000	41.52000	USDJPY	tp 108.377	#0#0.0#
1064	1064	2019.10.30 23:00	1572476400000	DEAL_TYPE_SELL	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1064	0.10000	108.82700	0.00000	0.00000	0.00000	USDJPY	539##0#0.0#	#0#0.0#
1063	1063	2019.10.30 20:59	1572469198000	DEAL_TYPE_SELL	DEAL_ENTRY_OUT	16384	DEAL_REASON_TP	1062	0.10000	109.19900	0.00000	-0.03000	41.21000	USDJPY	tp 109.199	#0#0.0#
1062	1062	2019.10.25 21:00	1572037200000	DEAL_TYPE_BUY	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1062	0.10000	108.74900	0.00000	0.00000	0.00000	USDJPY	538##0#0.0#	#0#0.0#
1061	1061	2019.10.25 18:59	1572029998000	DEAL_TYPE_BUY	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1059	0.10000	108.71000	0.00000	-0.06000	-18.77000	USDJPY	sl 108.710	#0#0.0#
1060	1060	2019.10.24 17:00	1571936400000	DEAL_TYPE_SELL	DEAL_ENTRY_OUT	16384	DEAL_REASON_EXPERT	1058	0.10000	108.50600	0.00000	0.00000	-16.96000	USDJPY	537##0#method1#comment	#0#method1#comment
1059	1059	2019.10.24 17:00	1571936400000	DEAL_TYPE_SELL	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1059	0.10000	108.50600	0.00000	0.00000	0.00000	USDJPY	536##0#0.0#	#0#0.0#
1058	1058	2019.10.24 12:00	1571918400000	DEAL_TYPE_BUY	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1058	0.10000	108.69000	0.00000	0.00000	0.00000	USDJPY	535##0#0.0#	#0#0.0#
1057	1057	2019.10.23 19:59	1571860798000	DEAL_TYPE_BUY	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1056	0.10000	108.67500	0.00000	-0.06000	-18.68000	USDJPY	sl 108.675	#0#0.0#
1056	1056	2019.10.22 23:00	1571785200000	DEAL_TYPE_SELL	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1056	0.10000	108.47200	0.00000	0.00000	0.00000	USDJPY	534##0#0.0#	#0#0.0#
1055	1055	2019.10.22 16:59	1571763598000	DEAL_TYPE_SELL	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1053	0.10000	108.45300	0.00000	0.00000	-18.72000	USDJPY	sl 108.453	#0#0.0#
1054	1054	2019.10.22 05:00	1571720400000	DEAL_TYPE_BUY	DEAL_ENTRY_OUT	16384	DEAL_REASON_EXPERT	1052	0.10000	108.65600	0.00000	-0.18000	-1.10000	USDJPY	533##0#method1#comment	#0#method1#comment
1053	1053	2019.10.22 05:00	1571720400000	DEAL_TYPE_BUY	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1053	0.10000	108.65600	0.00000	0.00000	0.00000	USDJPY	532##0#0.0#	#0#0.0#
1052	1052	2019.10.17 18:00	1571335200000	DEAL_TYPE_SELL	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1052	0.10000	108.64400	0.00000	0.00000	0.00000	USDJPY	531##0#0.0#	#0#0.0#
1051	1051	2019.10.08 12:59	1570539598000	DEAL_TYPE_SELL	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1050	0.10000	107.09100	0.00000	-0.01000	-18.96000	USDJPY	sl 107.091	#0#0.0#
1050	1050	2019.10.07 22:00	1570485600000	DEAL_TYPE_BUY	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1050	0.10000	107.29400	0.00000	0.00000	0.00000	USDJPY	530##0#0.0#	#0#0.0#
1049	1049	2019.10.02 06:59	1569999598000	DEAL_TYPE_BUY	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1048	0.10000	107.89300	0.00000	-0.06000	-18.81000	USDJPY	sl 107.893	#0#0.0#
1048	1048	2019.10.01 20:00	1569960000000	DEAL_TYPE_SELL	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1048	0.10000	107.69000	0.00000	0.00000	0.00000	USDJPY	529##0#0.0#	#0#0.0#
1047	1047	2019.09.26 11:59	1569499198000	DEAL_TYPE_SELL	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1046	0.10000	107.58200	0.00000	-0.03000	-18.87000	USDJPY	sl 107.582	#0#0.0#
1046	1046	2019.09.25 19:00	1569438000000	DEAL_TYPE_BUY	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1046	0.10000	107.78500	0.00000	0.00000	0.00000	USDJPY	528##0#0.0#	#0#0.0#
1045	1045	2019.09.24 21:59	1569362397000	DEAL_TYPE_BUY	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1044	0.10000	107.28600	0.00000	0.00000	-19.01000	USDJPY	sl 107.286	#0#0.0#
1044	1044	2019.09.24 20:00	1569355200000	DEAL_TYPE_SELL	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1044	0.10000	107.08200	0.00000	0.00000	0.00000	USDJPY	527##0#0.0#	#0#0.0#
1043	1043	2019.09.24 17:59	1569347997000	DEAL_TYPE_SELL	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1042	0.10000	107.48600	0.00000	0.00000	-18.89000	USDJPY	sl 107.486	#0#0.0#
1042	1042	2019.09.24 14:00	1569333600000	DEAL_TYPE_BUY	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1042	0.10000	107.68900	0.00000	0.00000	0.00000	USDJPY	526##0#0.0#	#0#0.0#
1041	1041	2019.09.20 20:59	1569013198000	DEAL_TYPE_BUY	DEAL_ENTRY_OUT	16384	DEAL_REASON_TP	1040	0.10000	107.64200	0.00000	-0.06000	41.81000	USDJPY	tp 107.642	#0#0.0#
1040	1040	2019.09.19 06:00	1568872800000	DEAL_TYPE_SELL	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1040	0.10000	108.09200	0.00000	0.00000	0.00000	USDJPY	525##0#0.0#	#0#0.0#
1039	1039	2019.09.19 04:59	1568869198000	DEAL_TYPE_SELL	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1038	0.10000	108.00700	0.00000	-0.04000	-18.89000	USDJPY	sl 108.007	#0#0.0#
1038	1038	2019.09.17 04:00	1568692800000	DEAL_TYPE_BUY	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1038	0.10000	108.21100	0.00000	0.00000	0.00000	USDJPY	524##0#0.0#	#0#0.0#
1037	1037	2019.09.16 16:59	1568653198000	DEAL_TYPE_BUY	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1036	0.10000	107.95300	0.00000	0.00000	-18.80000	USDJPY	sl 107.953	#0#0.0#
1036	1036	2019.09.16 05:00	1568610000000	DEAL_TYPE_SELL	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1036	0.10000	107.75000	0.00000	0.00000	0.00000	USDJPY	523##0#0.0#	#0#0.0#
1035	1035	2019.09.16 00:59	1568595597000	DEAL_TYPE_SELL	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1034	0.10000	107.89800	0.00000	-0.01000	-20.20000	USDJPY	sl 107.898	#0#0.0#
1034	1034	2019.09.13 00:00	1568332800000	DEAL_TYPE_BUY	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1034	0.10000	108.11600	0.00000	0.00000	0.00000	USDJPY	522##0#0.0#	#0#0.0#
1033	1033	2019.09.12 17:59	1568311198000	DEAL_TYPE_BUY	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1032	0.10000	107.96700	0.00000	0.00000	-18.80000	USDJPY	sl 107.967	#0#0.0#
1032	1032	2019.09.12 17:00	1568307600000	DEAL_TYPE_SELL	DEAL_ENTRY_IN	16384	DEAL_REASON_EXPERT	1032	0.10000	107.76400	0.00000	0.00000	0.00000	USDJPY	521##0#0.0#	#0#0.0#
1031	1031	2019.09.05 09:59	1567677598000	DEAL_TYPE_SELL	DEAL_ENTRY_OUT	16384	DEAL_REASON_SL	1030	0.10000	106.45000	0.00000	0.00000	-19.16000	USDJPY	sl 106.450	#0#0.0#
