Position_data
Positionêî=	481
POSITION_TICKET	POSITION_TIME	POSITION_TIME_MSC	POSITION_TIME_UPDATE	POSITION_TIME_UPDATE_MSC	POSITION_TYPE	POSITION_MAGIC	POSITION_IDENTIFIER	POSITION_REASON	POSITION_VOLUME	POSITION_PRICE_OPEN	POSITION_SL	POSITION_TP	POSITION_PRICE_CURRENT	POSITION_SWAP	POSITION_PROFIT	POSITION_COMMENT	status	max_price	max_subtime	min_price	min_time	open_sigma_Fb	open_sigmaLb	open_bollinger_bandwide_Fb	open_bollinger_bandwide_Fb_o1	open_bollinger_bandwide_Fb_o2	open_bollinger_bandwide_Fb_o3	open_bollinger_bandwide_Fb_o4	open_bollinger_bandwide_Fb_o5	open_bollinger_bandwide_Lb	open_bollinger_bandwide_Lb_o1	open_bollinger_bandwide_Lb_o2	open_bollinger_bandwide_Lb_o3	open_bollinger_bandwide_Lb_o4	open_bollinger_bandwide_Lb_o5	open_katamuki_F	open_katamuki1_F	open_katamuki2_F	open_katamuki3_F	open_katamuki_L	open_katamuki1_L	open_katamuki2_L	open_katamuki3_L	open_katamuki_EMA_A	open_katamuki_EMA_A1	open_katamuki_EMA_A2	open_katamuki_EMA_B1	open_katamuki_EMA_B2	open_katamuki_EMA_C1	open_katamuki_EMA_C2	open_state_tyouki_chikou_innyou	open_state_tyouki_kumo_innyou	open_state_tanki__chikou_innyou	open_state_tanki__kumo_innyou	open_mode_span_pattern	max_sigma	min_sigma	agatte_sagaru	sagatte_agaru
2	2009.01.02 21:00	1230930000000	1230930000	1230930000000	POSITION_TYPE_BUY	16384	2	POSITION_REASON_EXPERT	0.10000	92.20000	91.97000	92.65000	92.27000	0.00000	7.59000	0##0#0.0#	2	7.00000000	3600	0.00000000	0	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	0.00000000	7.00000000
4	2009.01.07 16:00	1231344000000	1231344000	1231344000000	POSITION_TYPE_SELL	16384	4	POSITION_REASON_EXPERT	0.10000	93.00000	93.23000	92.55000	92.84000	0.00000	28.04000	1##0#0.0#	2	0.00000000	0	39.00000000	10800	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	39.00000000	13.00000000
8	2009.01.09 18:00	1231524000000	1231524000	1231524000000	POSITION_TYPE_SELL	16384	8	POSITION_REASON_EXPERT	0.10000	90.26000	90.49000	89.81000	90.22000	0.00000	-1.11000	3##0#0.0#	2	0.00000000	0	7.00000000	3600	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	7.00000000	5.00000000
10	2009.01.15 22:00	1232056800000	1232056800	1232056800000	POSITION_TYPE_BUY	16384	10	POSITION_REASON_EXPERT	0.10000	89.84000	89.61000	90.29000	89.83000	0.00000	27.75000	4##0#0.0#	2	25.00000000	14400	1.00000000	3600	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	1.00000000	26.00000000
12	2009.01.20 18:00	1232474400000	1232474400	1232474400000	POSITION_TYPE_SELL	16384	12	POSITION_REASON_EXPERT	0.10000	90.19000	90.42000	89.74000	90.14000	0.00000	37.84000	5##0#0.0#	2	0.00000000	0	37.00000000	10800	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	37.00000000	0.00000000
14	2009.01.28 22:00	1233180000000	1233180000	1233180000000	POSITION_TYPE_BUY	16384	14	POSITION_REASON_EXPERT	0.10000	90.33000	90.10000	90.78000	90.25000	0.00000	2.21000	6##0#0.0#	2	15.00000000	10800	8.00000000	3600	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	13.00000000	23.00000000
16	2009.02.10 19:00	1234292400000	1234292400	1234292400000	POSITION_TYPE_SELL	16384	16	POSITION_REASON_EXPERT	0.10000	90.72000	90.95000	90.27000	90.41000	0.00000	34.29000	7##0#0.0#	2	0.00000000	0	34.00000000	3600	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	34.00000000	0.00000000
18	2009.02.17 05:00	1234846800000	1234846800	1234846800000	POSITION_TYPE_BUY	16384	18	POSITION_REASON_EXPERT	0.10000	92.63400	92.40400	93.08400	92.42500	0.00000	-22.61000	8##0#0.0#	2	0.00000000	0	20.90000000	3600	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	20.90000000	0.00000000
22	2009.03.17 15:00	1237302000000	1237302000	1237302000000	POSITION_TYPE_BUY	16384	22	POSITION_REASON_EXPERT	0.10000	98.83500	98.60500	99.28500	98.75700	0.00000	-0.10000	10##0#0.0#	2	0.00000000	0	7.80000000	3600	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	7.80000000	7.70000000
24	2009.03.18 17:00	1237395600000	1237395600	1237395600000	POSITION_TYPE_SELL	16384	24	POSITION_REASON_EXPERT	0.10000	98.08100	98.31100	97.63100	98.00100	0.00000	8.78000	11##0#0.0#	2	0.00000000	0	11.60000000	7200	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0.00000000	0.00000000	11.60000000	0.00000000
